Frame ,Term ,
Innovation,innovat*,
Innovation,grow,
Innovation,growth,
Innovation,patent*,
Innovation,invent*,
Innovation,invest*,
Innovation,billion* ,
Innovation,economy,
Innovation,economies,
Innovation,economic,
Innovation,transform*,
Innovation,chang*,
Innovation,revolution*,
Innovation,disrupt*,
Innovation,reinvent*,
Innovation,shake,
Innovation,accelerat*,
Innovation,drive,
Innovation,drives,
Innovation,driven,
Innovation,enhanc*,
Innovation,boost*,
Innovation,fueled,
Innovation,fueling,
Innovation,enable,
Innovation,enabler*,
Innovation,enables,
Innovation,enabling,
Innovation,optimize,
Innovation,optimizing,
Innovation,optimizes,
Innovation,augment*,
Innovation,business,
Innovation,businesses,
Innovation,start-up*,
Innovation,startup*,
Innovation,enterpris*,
Innovation,embrac*,
Innovation,opportunity,
Innovation,opportunities,
Innovation,ambitions,
Innovation,potential,
Innovation,productiv* ,
Innovation,efficien*,
Innovation,edge,
Innovation,pace,
Innovation,faster,
Innovation,momentum,
Innovation,rise,
Ethical,ethic*,
Ethical,moral*,
Ethical,morality,
Ethical,evil,
Ethical,rights,
Ethical,freedom*,
Ethical,human values,
Ethical,societal values,
Ethical,democratic values,
Ethical,responsibl*,
Ethical,responsibleAI,
Ethical,human control,
Ethical,fairness*,
Ethical,fairer*,
Ethical,unfair*,
Ethical,discrim*,
Ethical,non-discrim*,
Ethical,anti-discrim*,
Ethical,antidiscrim*,
Ethical,transparenc*,
Ethical,explainab*,
Ethical,interpretab*,
Ethical,safe*,
Ethical,accountab*,
Ethical,privac*,
Ethical,bias*,
Ethical,unbias,
Ethical,racis*,
Ethical,sexis*,
Ethical,homophob*,
Ethical,transphob*,
Ethical,equality*,
Ethical,inequal*,
Ethical,unequal*,
Ethical,equita*,
Ethical,humanity,
Ethical,humane,
Ethical,human-cent*,
Ethical,trust,
Ethical,trustworth*,
Ethical,trusted,
Ethical,untrust*,
Ethical,fear*,
Ethical,afraid*,
Ethical,threat*,
Ethical,misus*,
Ethical,abus*,
Ethical,manip*,
Ethical,harm,
Ethical,harmed,
Ethical,harmful,
Ethical,harming,
Ethical,harms,
Ethical,consent*,
Ethical,deceiv*,
Ethical,decept*,
Ethical,fooled,
Ethical,misinform*,
Ethical,propagand*,
Ethical,democracy,
Ethical,displac*,
Ethical,unemploy*,
Ethical,diverse,
Ethical,diversity,
Ethical,societ*,
Ethical,sustainability,
Ethical,sustainable,
Ethical,environmental*,
competition ,competit*,
competition ,compete,
competition ,rivals,
competition ,rivalry,
competition ,ahead*,
competition ,left behind*,
competition ,fall* behind,
competition ,advantag*,
competition ,rank,
competition ,ranks,
competition ,dominance,
competition ,dominate,
competition ,dominating,
competition ,domination,
competition ,supremacy,
competition ,china*,
competition ,chinese*,
competition ,russia*,
competition ,arms race,
competition ,artificial intelligence race,
competition ,AI race,
competition ,global race,
competition ,#AI race,
competition ,sputnik,
competition ,war,
competition ,warfare,
competition ,battlefield*,
competition ,weapon*,
competition ,lethal*,
competition ,national security,
competition ,militar*,
competition ,army*,
competition ,navy*,
competition ,naval,
competition ,air force*,
competition ,marines ,
competition ,armed forces ,