Frame,Term
ethical,high risk ai
ethical,high risk  
ethical,fundamental rights
ethical,natural persons
ethical,rights
ethical,risks
ethical,protection
innovation,ai regulatory sandbox
ethical,annex iii
ethical,biometric
ethical,safety
competition,global
competition,competitiveness
competition,growth
innovation,innovat*
innovation,grow
innovation,growth
innovation,patent*
innovation,invent*
innovation,invest*
innovation,billion* 
innovation,economy
innovation,economies
innovation,economic
innovation,transform*
innovation,chang*
innovation,revolution*
innovation,disrupt*
innovation,reinvent*
innovation,shake
innovation,accelerat*
innovation,drive
innovation,drives
innovation,driven
innovation,enhanc*
innovation,boost*
innovation,fueled
innovation,fueling
innovation,enable
innovation,enabler*
innovation,enables
innovation,enabling
innovation,optimize
innovation,optimizing
innovation,optimizes
innovation,augment*
innovation,business
innovation,businesses
innovation,start-up*
innovation,startup*
innovation,enterpris*
innovation,embrac*
innovation,opportunity
innovation,opportunities
innovation,ambitions
innovation,potential
innovation,productiv* 
innovation,efficien*
innovation,edge
innovation,pace
innovation,faster
innovation,momentum
innovation,rise
ethical ,ethic*
ethical ,moral*
ethical ,morality
ethical ,evil
ethical,rights
ethical,freedom*
ethical,human values
ethical,societal values
ethical,democratic values
ethical,responsibl*
ethical,responsibleAI
ethical,human control
ethical,fairness*
ethical,fairer*
ethical,unfair*
ethical,discrim*
ethical,non-discrim*
ethical,anti-discrim*
ethical,antidiscrim*
ethical,transparenc*
ethical,explainab*
ethical,interpretab*
ethical,safe*
ethical,accountab*
ethical,privac*
ethical,bias*
ethical,unbias
ethical,racis*
ethical,sexis*
ethical,homophob*
ethical,transphob*
ethical,equality*
ethical,inequal*
ethical,unequal*
ethical,equita*
ethical,humanity
ethical,humane
ethical,human-cent*
ethical,trust
ethical,trustworth*
ethical,trusted
ethical,untrust*
ethical,fear*
ethical,afraid*
ethical,threat*
ethical,misus*
ethical,abus*
ethical,manip*
ethical,harm
ethical,harmed
ethical,harmful
ethical,harming
ethical,harms
ethical,consent*
ethical,deceiv*
ethical,decept*
ethical,fooled
ethical,misinform*
ethical,propagand*
ethical,democracy
ethical,displac*
ethical,unemploy*
ethical,diverse
ethical,diversity
ethical,societ*
ethical,sustainability
ethical,sustainable
ethical,environmental*
competition ,competit*
competition ,compete
competition ,rivals
competition ,rivalry
competition ,ahead*
competition ,left behind*
competition ,fall* behind
competition ,advantag*
competition ,rank
competition ,ranks
competition ,dominance
competition ,dominate
competition ,dominating
competition ,domination
competition ,supremacy
competition ,china*
competition ,chinese*
competition ,russia*
competition ,arms race
competition ,artificial intelligence race
competition ,AI race
competition ,global race
competition ,#AI race
competition ,sputnik
competition ,war
competition ,warfare
competition ,battlefield*
competition ,weapon*
competition ,lethal*
competition ,national security
competition ,militar*
competition ,army*
competition ,navy*
competition ,naval
competition ,air force*
competition ,marines 
competition ,armed forces 